For file: {startDate}, No image/date found.
For file: 2025-01-06 00:00:00, Sentinel-2 Acquisition: 2025-01-07 03:06:43
For file: 2025-01-11 00:00:00, Sentinel-2 Acquisition: 2025-01-12 03:06:46
For file: 2025-01-16 00:00:00, Sentinel-2 Acquisition: 2025-01-17 03:06:45
For file: 2025-01-21 00:00:00, Sentinel-2 Acquisition: 2025-01-22 03:06:48
For file: 2025-01-26 00:00:00, Sentinel-2 Acquisition: 2025-01-27 03:07:14
For file: 2025-01-31 00:00:00, Sentinel-2 Acquisition: 2025-02-01 03:06:49
For file: 2025-02-05 00:00:00, Sentinel-2 Acquisition: 2025-02-06 03:07:13
For file: 2025-02-10 00:00:00, Sentinel-2 Acquisition: 2025-02-11 03:06:50
For file: 2025-02-15 00:00:00, Sentinel-2 Acquisition: 2025-02-16 03:07:10
For file: 2025-02-20 00:00:00, Sentinel-2 Acquisition: 2025-02-21 03:06:51
For file: 2025-02-25 00:00:00, Sentinel-2 Acquisition: 2025-02-26 03:07:10
For file: 2025-03-02 00:00:00, Sentinel-2 Acquisition: 2025-03-03 03:06:50
For file: 2025-03-07 00:00:00, Sentinel-2 Acquisition: 2025-03-08 03:07:10
For file: 2025-03-12 00:00:00, Sentinel-2 Acquisition: 2025-03-13 04:06:48
For file: 2025-03-17 00:00:00, Sentinel-2 Acquisition: 2025-03-20 04:06:58
For file: 2025-03-22 00:00:00, Sentinel-2 Acquisition: 2025-03-23 04:06:50
For file: 2025-03-27 00:00:00, Sentinel-2 Acquisition: 2025-03-28 04:07:08
For file: 2025-04-01 00:00:00, Sentinel-2 Acquisition: 2025-04-02 04:06:46
For file: 2025-04-06 00:00:00, Sentinel-2 Acquisition: 2025-04-07 04:07:10
For file: 2025-04-11 00:00:00, Sentinel-2 Acquisition: 2025-04-12 04:06:49
For file: 2025-04-16 00:00:00, Sentinel-2 Acquisition: 2025-04-17 04:07:06
For file: 2025-04-21 00:00:00, Sentinel-2 Acquisition: 2025-04-22 04:06:48
For file: 2025-04-26 00:00:00, Sentinel-2 Acquisition: 2025-04-27 04:07:09
For file: 2025-05-01 00:00:00, Sentinel-2 Acquisition: 2025-05-02 04:06:48
For file: 2025-05-06 00:00:00, Sentinel-2 Acquisition: 2025-05-07 04:07:06
For file: 2025-05-11 00:00:00, Sentinel-2 Acquisition: 2025-05-12 04:06:47
For file: 2025-05-16 00:00:00, Sentinel-2 Acquisition: 2025-05-17 04:07:03
For file: 2025-05-21 00:00:00, Sentinel-2 Acquisition: 2025-05-22 04:06:48
For file: 2025-05-26 00:00:00, Sentinel-2 Acquisition: 2025-05-27 04:07:06
For file: 2025-05-31 00:00:00, Sentinel-2 Acquisition: 2025-06-01 04:06:47
For file: 2025-06-05 00:00:00, Sentinel-2 Acquisition: 2025-06-06 04:07:07
For file: 2025-06-10 00:00:00, Sentinel-2 Acquisition: 2025-06-11 04:06:45
For file: 2025-06-15 00:00:00, Sentinel-2 Acquisition: 2025-06-16 04:07:05
For file: 2025-06-20 00:00:00, Sentinel-2 Acquisition: 2025-06-21 04:06:47
For file: 2025-06-25 00:00:00, Sentinel-2 Acquisition: 2025-06-26 04:07:07
For file: 2025-06-30 00:00:00, Sentinel-2 Acquisition: 2025-07-01 04:06:49
For file: 2025-07-05 00:00:00, Sentinel-2 Acquisition: 2025-07-06 04:07:09
For file: 2025-07-10 00:00:00, Sentinel-2 Acquisition: 2025-07-11 04:06:50
For file: 2025-07-15 00:00:00, Sentinel-2 Acquisition: 2025-07-16 04:07:10
For file: 2025-07-20 00:00:00, Sentinel-2 Acquisition: 2025-07-21 04:06:49
For file: 2025-07-25 00:00:00, Sentinel-2 Acquisition: 2025-07-26 04:07:09
For file: 2025-07-30 00:00:00, Sentinel-2 Acquisition: 2025-07-31 04:06:46
For file: 2025-08-04 00:00:00, Sentinel-2 Acquisition: 2025-08-05 04:07:06
For file: 2025-08-09 00:00:00, Sentinel-2 Acquisition: 2025-08-10 04:06:48
For file: 2025-08-14 00:00:00, Sentinel-2 Acquisition: 2025-08-15 04:07:06
For file: 2025-08-19 00:00:00, Sentinel-2 Acquisition: 2025-08-20 04:06:49
For file: 2025-08-24 00:00:00, Sentinel-2 Acquisition: 2025-08-25 04:07:06
For file: 2025-08-29 00:00:00, Sentinel-2 Acquisition: 2025-08-30 04:06:47
For file: 2025-09-03 00:00:00, Sentinel-2 Acquisition: 2025-09-04 04:07:04
For file: 2025-09-08 00:00:00, Sentinel-2 Acquisition: 2025-09-09 04:06:45
For file: 2025-09-13 00:00:00, Sentinel-2 Acquisition: 2025-09-14 04:07:00
For file: 2025-09-18 00:00:00, Sentinel-2 Acquisition: 2025-09-19 04:06:44
For file: 2025-09-23 00:00:00, Sentinel-2 Acquisition: 2025-09-24 04:07:01
For file: 2025-09-28 00:00:00, Sentinel-2 Acquisition: 2025-09-29 04:06:47
For file: 2025-10-03 00:00:00, Sentinel-2 Acquisition: 2025-10-04 04:07:02
For file: 2025-10-08 00:00:00, Sentinel-2 Acquisition: 2025-10-09 04:06:45
For file: 2025-10-13 00:00:00, Sentinel-2 Acquisition: 2025-10-14 04:06:58
For file: 2025-10-18 00:00:00, Sentinel-2 Acquisition: 2025-10-19 04:06:47
For file: 2025-10-23 00:00:00, Sentinel-2 Acquisition: 2025-10-24 04:06:59
For file: 2025-10-28 00:00:00, Sentinel-2 Acquisition: 2025-10-29 04:06:45
For file: 2025-11-02 00:00:00, Sentinel-2 Acquisition: 2025-11-03 03:06:59
For file: 2025-11-07 00:00:00, Sentinel-2 Acquisition: 2025-11-08 03:06:42
For file: 2025-11-12 00:00:00, Sentinel-2 Acquisition: 2025-11-13 03:06:56
For file: 2025-11-17 00:00:00, Sentinel-2 Acquisition: 2025-11-18 03:06:42
For file: 2025-11-22 00:00:00, Sentinel-2 Acquisition: 2025-11-23 03:06:56
For file: 2025-11-27 00:00:00, Sentinel-2 Acquisition: 2025-11-28 03:06:39
For file: 2025-12-02 00:00:00, Sentinel-2 Acquisition: 2025-12-03 03:06:51
For file: 2025-12-07 00:00:00, Sentinel-2 Acquisition: 2025-12-08 03:06:43
For file: 2025-12-12 00:00:00, Sentinel-2 Acquisition: 2025-12-13 03:06:55
For file: 2025-12-17 00:00:00, Sentinel-2 Acquisition: 2025-12-18 03:06:44
For file: 2025-12-22 00:00:00, Sentinel-2 Acquisition: 2025-12-23 03:06:54
For file: 2025-12-27 00:00:00, Sentinel-2 Acquisition: 2025-12-28 03:06:46
